Van Datum;Van Tijdstip;Tot Datum;Tot Tijdstip;EAN;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus
01-10-2023;00:00:00;01-11-2023;00:00:00;="541448820059611330";1SAG1105007156;Digitale Meter;Afname Dag;36,947;kWh;Gevalideerd
01-10-2023;00:00:00;01-11-2023;00:00:00;="541448820059611330";1SAG1105007156;Digitale Meter;Afname Nacht;18,839;kWh;Gevalideerd
01-10-2023;00:00:00;01-11-2023;00:00:00;="541448820059611330";1SAG1105007156;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
01-10-2023;00:00:00;01-11-2023;00:00:00;="541448820059611330";1SAG1105007156;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
01-11-2023;00:00:00;01-12-2023;00:00:00;="541448820059611330";1SAG1105007156;Digitale Meter;Afname Dag;54,089;kWh;Gevalideerd
01-11-2023;00:00:00;01-12-2023;00:00:00;="541448820059611330";1SAG1105007156;Digitale Meter;Afname Nacht;23,329;kWh;Gevalideerd
01-11-2023;00:00:00;01-12-2023;00:00:00;="541448820059611330";1SAG1105007156;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
01-11-2023;00:00:00;01-12-2023;00:00:00;="541448820059611330";1SAG1105007156;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
01-12-2023;00:00:00;01-01-2024;00:00:00;="541448820059611330";1SAG1105007156;Digitale Meter;Afname Dag;45,497;kWh;Gevalideerd
01-12-2023;00:00:00;01-01-2024;00:00:00;="541448820059611330";1SAG1105007156;Digitale Meter;Afname Nacht;36,290;kWh;Gevalideerd
01-12-2023;00:00:00;01-01-2024;00:00:00;="541448820059611330";1SAG1105007156;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
01-12-2023;00:00:00;01-01-2024;00:00:00;="541448820059611330";1SAG1105007156;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
